iter	Logloss
328	0.4124713441
329	0.4124361922
330	0.4124104784
331	0.4123764146
332	0.4123485112
333	0.4123152719
334	0.4122629883
335	0.4122181592
336	0.4121914905
337	0.4121635883
338	0.4121364204
339	0.4120938854
340	0.4120482369
341	0.4120260417
342	0.4120008506
343	0.4119713817
344	0.4119456151
345	0.4119179379
346	0.411883839
347	0.4118513454
348	0.4118037834
349	0.4117684107
350	0.4117272265
351	0.4116985304
352	0.4116440627
353	0.411610083
354	0.4115835972
355	0.4115486155
356	0.4115077035
357	0.4114696526
358	0.4114493384
359	0.4114183063
360	0.4113867087
361	0.4113418578
362	0.4113149842
363	0.4112729213
364	0.411252842
365	0.4112006216
366	0.4111782567
367	0.4111390867
368	0.4111076568
369	0.4110765401
370	0.4110511501
371	0.4110267448
372	0.4109777032
373	0.4109363845
374	0.4108990442
375	0.4108558818
376	0.4108334938
377	0.4108090294
378	0.4107853484
379	0.4107712148
380	0.4107412292
381	0.41070071
382	0.4106702998
383	0.4106246385
384	0.4105809543
385	0.4105414357
386	0.4105187288
387	0.4104791331
388	0.4104464658
389	0.4103913392
390	0.4103460582
391	0.410304926
392	0.4102880681
393	0.4102532331
394	0.4102154741
395	0.4101771116
396	0.4101508841
397	0.4101314116
398	0.410082562
399	0.4100550068
400	0.4100339845
401	0.4099975594
402	0.40995739
403	0.4099315003
404	0.4099005712
405	0.4098642422
406	0.4098390418
407	0.4098176319
