iter	Logloss
0	0.6442036913
1	0.6192480158
2	0.5849077487
3	0.5589520381
4	0.5439429529
5	0.5310419179
6	0.5204681277
7	0.5105716543
8	0.5015252026
9	0.4938110813
10	0.4871133848
11	0.481232873
12	0.4759054818
13	0.4685551622
14	0.4645584296
15	0.4604449982
16	0.4572101814
17	0.4528198526
18	0.449312961
19	0.4471357356
20	0.4451639464
21	0.4433117142
22	0.441735824
23	0.4400196645
24	0.4387469353
25	0.4376203821
26	0.4365818625
27	0.4356234725
28	0.4341263181
29	0.4333934419
30	0.4327031111
31	0.4320020516
32	0.4314327882
33	0.4307414949
34	0.4302856153
35	0.4295323732
36	0.4291433278
37	0.4286768734
38	0.4282068577
39	0.4279246899
40	0.4276551019
41	0.4271728142
42	0.426935034
43	0.4267349482
44	0.4265319061
45	0.4261922208
46	0.4259311574
47	0.4257833258
48	0.4256309952
49	0.4254999783
50	0.4252702536
51	0.4250584128
52	0.4249471325
53	0.4248523546
54	0.4247486003
55	0.4245671891
56	0.42448164
57	0.4244107036
58	0.4243251146
59	0.4242538515
60	0.4241389522
61	0.4240603235
62	0.423995773
63	0.4239224798
64	0.4238341848
65	0.4237784958
66	0.4237232672
67	0.4236670939
68	0.4236019971
69	0.4235198706
70	0.4234441961
71	0.4233847374
72	0.4232991764
73	0.4232347671
74	0.4231808706
75	0.423123811
76	0.4229991825
77	0.4228899492
78	0.4228400386
79	0.422774345
80	0.422729122
81	0.4226763924
82	0.4226214889
83	0.422545262
84	0.4224924838
85	0.422435477
86	0.4224036203
87	0.4223523393
88	0.4223170089
89	0.4222680827
90	0.4222023894
91	0.4221360333
92	0.4220746364
93	0.4220257102
94	0.4219609658
95	0.4219129424
96	0.4217762662
97	0.4217261941
98	0.4216715506
99	0.4216297315
100	0.4215910686
101	0.4215226333
102	0.4214752408
103	0.421436943
104	0.4214013959
105	0.4213720953
106	0.4213246383
107	0.4212803176
108	0.4212259315
109	0.4211811737
110	0.4210919162
111	0.4210142986
112	0.4209641806
113	0.4209184462
114	0.4208805205
115	0.4208479004
116	0.4208204924
117	0.4207494965
118	0.4207023461
119	0.420650137
120	0.4205954753
121	0.4205566012
122	0.4205017181
123	0.4204525993
124	0.420349752
125	0.4202993925
126	0.4202418506
127	0.4201997099
128	0.4201493298
129	0.4201030456
130	0.4200520762
131	0.4200184585
132	0.4199937622
133	0.419911326
134	0.4198677698
135	0.4198218409
136	0.4197684839
137	0.4197296516
138	0.4196927839
139	0.4196555941
140	0.4196122944
141	0.4195697199
142	0.4195452622
143	0.4194974209
144	0.4194636225
145	0.4194269267
146	0.419366184
147	0.4193237654
148	0.4192741373
149	0.4192398369
150	0.4192056989
151	0.4191703709
152	0.419112465
153	0.4190685425
154	0.4190410157
155	0.4189980741
156	0.4189557757
157	0.4189185668
158	0.4188834622
159	0.4188446618
160	0.4188142726
161	0.4187719476
162	0.4187179576
163	0.4186795475
164	0.4186327816
165	0.4186011311
166	0.4185558982
167	0.4185118883
168	0.4184731276
169	0.4184394609
170	0.4184049408
171	0.4183692071
172	0.4183461507
173	0.4182943702
174	0.4182511477
175	0.4182017725
176	0.4181664375
177	0.4181255006
178	0.4181021179
179	0.4180484678
180	0.4180115142
181	0.4179731878
182	0.4179176987
183	0.417886366
184	0.4178519987
185	0.4177947073
186	0.4177519548
187	0.4177071139
188	0.4176759313
189	0.4176320136
190	0.4175955196
191	0.4175621493
192	0.4175344689
193	0.4175014835
194	0.4174675771
195	0.4174421678
196	0.4174153565
197	0.4173768584
198	0.4173146543
199	0.4172803177
200	0.4172552244
201	0.4172347409
202	0.417205341
203	0.4171812418
204	0.4171351002
205	0.417095843
206	0.4170565151
207	0.4170217268
208	0.4169813888
209	0.4169385702
210	0.4168822198
211	0.4168368662
212	0.416805456
213	0.4167673284
214	0.4167147196
215	0.4166685024
216	0.4166386547
217	0.4166098341
218	0.41657623
219	0.4165335477
220	0.416496465
221	0.4164689646
222	0.4164262277
223	0.416396511
224	0.4163476519
225	0.4163104483
226	0.4162793555
227	0.4162490254
228	0.4162163409
229	0.4161672168
230	0.4161392105
231	0.4161128173
232	0.4160769785
233	0.4160209018
234	0.4159875081
235	0.415944784
236	0.4158982873
237	0.4158669776
238	0.4158355169
239	0.4158100128
240	0.4157696858
241	0.4157272425
242	0.4156979841
243	0.4156659229
244	0.4156374989
245	0.4156062404
246	0.4155693601
247	0.4155136007
248	0.4154563553
249	0.4154196579
250	0.4153814715
251	0.4153432388
252	0.4153154381
253	0.415282061
254	0.4152574188
255	0.4152372353
256	0.415217107
257	0.4151950001
258	0.4151640196
259	0.4151187961
260	0.4150900519
261	0.4150639849
262	0.4150287723
263	0.4149859949
264	0.4149295254
265	0.4148846948
266	0.4148452523
267	0.4148048356
268	0.4147530642
269	0.4147402738
270	0.414694019
271	0.4146556893
272	0.4146172717
273	0.4145667958
274	0.4145338821
275	0.4145029595
276	0.4144768064
277	0.4144324865
278	0.414389705
279	0.4143528068
280	0.4143144192
281	0.4142793028
282	0.4142494409
283	0.4142109679
284	0.4141773214
285	0.4141265102
286	0.4140871724
287	0.4140219611
288	0.4139861835
289	0.4139546935
290	0.4139082959
291	0.4138603714
292	0.4138281186
293	0.4137888622
294	0.413771989
295	0.4137345617
296	0.413688869
297	0.4136448626
298	0.4136015672
299	0.4135694159
300	0.4135463015
301	0.4134906627
302	0.4134369276
303	0.4133925986
304	0.4133550475
305	0.4133076796
306	0.4132637843
307	0.4132260874
308	0.4132068764
309	0.4131801895
310	0.4131497278
311	0.4131219729
312	0.413065682
313	0.4130131355
314	0.4129844603
315	0.4129641138
316	0.4129294329
317	0.4128831762
318	0.4128411602
319	0.412819559
320	0.4127887701
321	0.4127415915
322	0.4127079148
323	0.4126704337
324	0.4126428192
325	0.4125860826
326	0.4125377532
327	0.4125174326
